epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2743.93,0.85931,0.79629,1,0.52668,0.00333249,0.00333249,0.00333249
2,4338.52,0.53092,0.86471,1,0.37685,0.00653384,0.00653384,0.00653384
3,5489.55,0.45545,0.86664,1,0.3636,0.00960319,0.00960319,0.00960319
4,6634.37,0.42307,0.90336,1,0.30398,0.009406,0.009406,0.009406
5,7780.71,0.35228,0.91303,1,0.27689,0.009208,0.009208,0.009208
6,8927.08,0.30937,0.90955,1,0.28507,0.00901,0.00901,0.00901
7,10074.6,0.28861,0.91225,1,0.28946,0.008812,0.008812,0.008812
8,11221.2,0.26853,0.91767,1,0.28643,0.008614,0.008614,0.008614
9,12365.8,0.25686,0.91419,1,0.28134,0.008416,0.008416,0.008416
10,13509.7,0.24021,0.91998,1,0.28468,0.008218,0.008218,0.008218
11,14653.4,0.23385,0.91921,1,0.28844,0.00802,0.00802,0.00802
12,15796.7,0.22268,0.92578,1,0.28198,0.007822,0.007822,0.007822
13,16940.2,0.21244,0.9254,1,0.28437,0.007624,0.007624,0.007624
14,18084,0.2074,0.92888,1,0.28667,0.007426,0.007426,0.007426
15,19228.8,0.20026,0.92926,1,0.29067,0.007228,0.007228,0.007228
16,20373.1,0.19425,0.92849,1,0.29394,0.00703,0.00703,0.00703
17,21517.5,0.18941,0.92849,1,0.29186,0.006832,0.006832,0.006832
18,22662,0.18443,0.92965,1,0.29276,0.006634,0.006634,0.006634
19,23807.2,0.17209,0.9281,1,0.29284,0.006436,0.006436,0.006436
20,24953.5,0.17214,0.92694,1,0.29195,0.006238,0.006238,0.006238
21,26099.6,0.16012,0.92656,1,0.29264,0.00604,0.00604,0.00604
